Llave;Rut cliente;Rut deudor;N° doc.;Tipo doc.;Fecha_pago;Fecha_prórroga
89.853.600-9-76.771.967-1-40147-FZ;89.853.600-9;76.771.967-1;40147;FZ;01/01/1900;01/01/1900
76.729.243-0-76.378.831-8-2635-FZ;76.729.243-0;76.378.831-8;2635;FZ;01/01/1900;01/01/1900
76.123.265-7-76.412.562-2-240-FZ;76.123.265-7;76.412.562-2;240;FZ;01/01/1900;01/01/1900
76.989.798-4-77.555.640-4-1872-FZ;76.989.798-4;77.555.640-4;1872;FZ;17/01/2025;01/01/1900
76.307.364-5-76.081.590-K-1428-FZ;76.307.364-5;76.081.590-K;1428;FZ;23/01/2025;01/01/1900
76.085.148-5-61.923.200-3-843-FZ;76.085.148-5;61.923.200-3;843;FZ;01/01/1900;01/01/1900
78.793.360-2-96.877.760-2-1002819-CH;78.793.360-2;96.877.760-2;1002819;CH;31/01/2025;01/01/1900
76.401.789-7-65.858.650-5-1793-FZ;76.401.789-7;65.858.650-5;1793;FZ;01/01/1900;01/01/1900
76.729.243-0-96.565.580-8-2641-FZ;76.729.243-0;96.565.580-8;2641;FZ;01/01/1900;01/01/1900
77.795.790-2-69.255.600-3-3021-FZ;77.795.790-2;69.255.600-3;3021;FZ;01/01/1900;01/01/1900
76.392.214-6-90.753.000-0-538-FS;76.392.214-6;90.753.000-0;538;FS;24/01/2025;01/01/1900
76.474.349-0-77.988.540-2-56349-FZ;76.474.349-0;77.988.540-2;56349;FZ;01/01/1900;01/01/1900
76.401.789-7-65.104.535-5-1766-F2;76.401.789-7;65.104.535-5;1766;F2;01/01/1900;01/01/1900
76.729.243-0-76.568.680-6-2657-FZ;76.729.243-0;76.568.680-6;2657;FZ;01/01/1900;01/01/1900
76.604.861-7-76.468.188-6-605-FZ;76.604.861-7;76.468.188-6;605;FZ;31/01/2025;01/01/1900
77.795.790-2-61.101.029-K-3020-FZ;77.795.790-2;61.101.029-K;3020;FZ;01/01/1900;01/01/1900
76.604.861-7-76.468.188-6-603-FZ;76.604.861-7;76.468.188-6;603;FZ;31/01/2025;01/01/1900
77.114.898-0-76.051.610-4-400-FZ;77.114.898-0;76.051.610-4;400;FZ;22/01/2025;01/01/1900
76.604.861-7-76.468.188-6-604-FZ;76.604.861-7;76.468.188-6;604;FZ;31/01/2025;01/01/1900
77.364.215-K-91.489.000-4-417-FZ;77.364.215-K;91.489.000-4;417;FZ;31/01/2025;01/01/1900
77.720.240-5-61.607.502-0-4219-FZ;77.720.240-5;61.607.502-0;4219;FZ;01/01/1900;01/01/1900
76.989.798-4-77.555.640-4-1875-FZ;76.989.798-4;77.555.640-4;1875;FZ;01/01/1900;01/01/1900
77.364.215-K-91.489.000-4-415-FZ;77.364.215-K;91.489.000-4;415;FZ;31/01/2025;01/01/1900
77.545.580-2-87.049.000-3-24759-FZ;77.545.580-2;87.049.000-3;24759;FZ;01/01/1900;01/01/1900
76.173.088-6-76.173.088-6-214045-C1;76.173.088-6;76.173.088-6;214045;C1;31/01/2025;01/01/1900
76.487.452-8-76.487.452-8-14112-C1;76.487.452-8;76.487.452-8;14112;C1;31/01/2025;01/01/1900
76.724.361-8-70.933.700-9-26505-FS;76.724.361-8;70.933.700-9;26505;FS;01/01/1900;01/01/1900
77.545.580-2-87.049.000-3-24763-FZ;77.545.580-2;87.049.000-3;24763;FZ;01/01/1900;01/01/1900
77.545.580-2-87.049.000-3-24755-FZ;77.545.580-2;87.049.000-3;24755;FZ;01/01/1900;01/01/1900
76.156.056-5-76.479.379-K-4768-FZ;76.156.056-5;76.479.379-K;4768;FZ;01/01/1900;01/01/1900
76.754.328-K-96.566.940-K-3176-FZ;76.754.328-K;96.566.940-K;3176;FZ;22/01/2025;01/01/1900
77.795.790-2-69.071.700-K-2877-FZ;77.795.790-2;69.071.700-K;2877;FZ;01/01/1900;01/01/1900
77.364.215-K-91.489.000-4-418-FZ;77.364.215-K;91.489.000-4;418;FZ;31/01/2025;01/01/1900
76.882.696-K-61.704.000-K-534-FZ;76.882.696-K;61.704.000-K;534;FZ;17/01/2025;01/01/1900
76.754.328-K-96.566.940-K-3178-FZ;76.754.328-K;96.566.940-K;3178;FZ;22/01/2025;01/01/1900
76.724.361-8-70.933.700-9-26718-FS;76.724.361-8;70.933.700-9;26718;FS;01/01/1900;01/01/1900
76.474.349-0-76.701.410-4-56345-FZ;76.474.349-0;76.701.410-4;56345;FZ;17/01/2025;01/01/1900
76.934.831-K-76.934.831-K-14129-GC;76.934.831-K;76.934.831-K;14129;GC;27/01/2025;01/01/1900
76.735.770-2-76.476.830-2-7737-FZ;76.735.770-2;76.476.830-2;7737;FZ;01/01/1900;01/01/1900
77.862.467-2-86.172.000-4-487-FZ;77.862.467-2;86.172.000-4;487;FZ;24/01/2025;01/01/1900
76.754.328-K-96.566.940-K-3179-FZ;76.754.328-K;96.566.940-K;3179;FZ;22/01/2025;01/01/1900
76.003.890-3-76.917.781-7-2040-FZ;76.003.890-3;76.917.781-7;2040;FZ;30/01/2025;01/01/1900
77.545.580-2-87.049.000-3-24756-FZ;77.545.580-2;87.049.000-3;24756;FZ;01/01/1900;01/01/1900
